Tiempo (min),Temperatura (°C)
0.0,78.59650753963352
3.1578947368421053,65.55662238505802
6.315789473684211,51.47703758110244
9.473684210526315,43.38454011951222
12.631578947368421,36.51242926820579
15.789473684210527,33.634506243030586
18.94736842105263,29.384301678582087
22.105263157894736,26.46968827475774
25.263157894736842,24.068059113786553
28.42105263157895,22.699512753098965
31.578947368421055,22.282895582109248
34.73684210526316,23.37090721706602
37.89473684210526,20.720406591796163
41.05263157894737,18.963093725879578
44.21052631578947,18.755494892416227
47.36842105263158,19.6349497797566
50.526315789473685,19.782976930458613
53.68421052631579,20.931292668081518
56.8421052631579,19.109932624463998
60.0,21.202165763847823
