Tiempo (s),Velocidad (m/s)
0.0,0.2794364039832208
0.6122448979591837,5.493451508534961
1.2244897959183674,10.863588848401692
1.836734693877551,15.101604501026939
2.4489795918367347,19.99975269086842
3.0612244897959187,22.797242681276725
3.673469387755102,25.749596359913443
4.285714285714286,27.38838635007232
4.8979591836734695,31.130191565114636
5.510204081632653,34.49014977631327
6.122448979591837,35.31537578009983
6.73469387755102,36.45062524538692
7.346938775510204,41.127947250767534
7.959183673469388,40.21297278981691
8.571428571428571,41.770345844709745
9.183673469387756,43.090502343912426
9.795918367346939,42.10051283646517
10.408163265306122,44.693734474465685
11.020408163265307,44.472995367887336
11.63265306122449,44.026831110241176
12.244897959183675,45.52223219866158
12.857142857142858,45.75437526745196
13.46938775510204,48.055442986207076
14.081632653061225,47.343438634005125
14.693877551020408,48.03273527042726
15.306122448979592,46.213589794301676
15.918367346938776,47.93735102963021
16.53061224489796,50.173995039761806
17.142857142857142,48.16778023833398
17.755102040816325,49.63463810954711
18.367346938775512,50.28012767134941
18.979591836734695,49.419525979822126
19.591836734693878,48.03421267565187
20.20408163265306,50.18999882119506
20.816326530612244,48.999729890623655
21.42857142857143,49.45352767967699
22.040816326530614,50.01985846537322
22.653061224489797,48.99937696215236
23.26530612244898,47.34614508323606
23.877551020408163,48.72223801837285
24.48979591836735,49.225818246511075
25.102040816326532,49.517575084193275
25.714285714285715,50.33926496187264
26.3265306122449,48.48627663223226
26.93877551020408,49.58457891731817
27.551020408163264,48.68215976800221
28.16326530612245,49.32585900835922
28.775510204081634,48.86374498689474
29.387755102040817,50.14402241492549
30.0,50.77083811062216
