Distancia (cm),Temperatura (°C)
0.0,102.43830377256478
0.5263157894736842,97.22843331807736
1.0526315789473684,98.91857051495444
1.5789473684210527,97.64836922145477
2.1052631578947367,96.87707957945314
2.631578947368421,94.88556838598787
3.1578947368421053,93.15241116939136
3.6842105263157894,90.56391220427905
4.2105263157894735,93.16398663814024
4.7368421052631575,94.2040469019537
5.263157894736842,89.10400801739283
5.789473684210526,88.05369683535812
6.315789473684211,92.33317343944081
6.842105263157895,88.44848116363124
7.368421052631579,86.03810271020248
7.894736842105263,85.83467031567834
8.421052631578947,89.37577291837103
8.947368421052632,82.45984969132319
9.473684210526315,82.35411510920775
10.0,84.05558158176018
