Tiempo (min),Temperatura (°C)
0.0,69.87766411972015
1.5384615384615385,52.036694972804554
3.076923076923077,40.28561808440489
4.615384615384616,32.39085713964341
6.153846153846154,26.65284371434509
7.6923076923076925,23.179779777038807
9.230769230769232,20.324786519911758
10.76923076923077,19.03073671008642
12.307692307692308,17.585711953917237
13.846153846153847,16.72182013549456
15.384615384615385,16.154001129764666
16.923076923076923,15.700243197334379
18.461538461538463,15.55219972721638
20.0,15.388670691432578
21.53846153846154,14.853746257072157
23.076923076923077,15.580831816190313
24.615384615384617,15.068733825544642
26.153846153846157,14.85905679783984
27.692307692307693,15.27220843122508
29.230769230769234,14.887761774727645
30.76923076923077,15.518701168747315
32.30769230769231,15.162366236814725
33.84615384615385,14.919878517113089
35.38461538461539,14.943924816655315
36.92307692307693,15.05264782069689
38.46153846153847,14.894838019239547
40.0,15.021945808418302
41.53846153846154,15.222320408658195
43.07692307692308,15.408081177096566
44.61538461538462,14.855299138071368
46.15384615384615,15.274896735601239
47.69230769230769,15.019175461768981
49.23076923076923,15.366386077414408
50.769230769230774,15.033679608196929
52.307692307692314,14.679533867240462
53.84615384615385,14.926696156171626
55.38461538461539,15.009649954067676
56.92307692307693,15.167272601266598
58.46153846153847,14.981264876342108
60.0,14.983170878310354
