Tiempo (s),Núcleos restantes
0.0,506.0459276917628
3.1578947368421053,424.25486707239605
6.315789473684211,360.127704466959
9.473684210526315,301.49684543681724
12.631578947368421,259.2272824842439
15.789473684210527,219.90386042942524
18.94736842105263,193.58757965642442
22.105263157894736,170.41774198806553
25.263157894736842,149.53003712030528
28.42105263157895,111.49919967870808
31.578947368421055,114.83799223573361
34.73684210526316,84.10727842340465
37.89473684210526,69.50617814187554
41.05263157894737,75.15836043858151
44.21052631578947,51.84114683152736
47.36842105263158,46.05078842233291
50.526315789473685,45.745073234471285
53.68421052631579,38.491833694844985
56.8421052631579,28.691919086199125
60.0,31.722688833922092
