Tiempo (s),Posición (m)
0.0,10.085156902858598
0.5172413793103449,8.393541593586908
1.0344827586206897,6.646416155405116
1.5517241379310347,5.886514093292229
2.0689655172413794,5.888209563199684
2.586206896551724,4.665782868013221
3.1034482758620694,4.416397724123702
3.620689655172414,2.8717773505069193
4.137931034482759,2.413722155979094
4.655172413793104,2.255255689982012
5.172413793103448,1.8074592197739319
5.689655172413794,2.062877677530744
6.206896551724139,1.9268270568028945
6.724137931034483,1.176381328205598
7.241379310344828,1.1028982908211866
7.758620689655173,0.7860196780905291
8.275862068965518,0.5018479610400792
8.793103448275863,0.6958648388983734
9.310344827586208,0.6971458258386236
9.827586206896552,0.5152084366502362
10.344827586206897,0.672853320422713
10.862068965517242,0.4581395267265927
11.379310344827587,0.06993290027650534
11.896551724137932,1.0707466380507096
12.413793103448278,0.3000070180168786
12.931034482758621,0.9790433502437306
13.448275862068966,-0.3227140957612319
13.965517241379311,0.5083243491873913
14.482758620689657,0.20746832566161094
15.0,0.06465759959667472
